what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454801282217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801282897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801287605
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801288845
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801289261
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801289594
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801289924
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801290144
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801290343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801290571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801290777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801291387
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801291619
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801291944
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1454801292309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454801340992
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801341653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801375986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454801459372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801459911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801481828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801589201
